<Nodes>
  1 4.5000000000000E+01 3.0000000000000E+01;
  2 3.5000000000000E+01 4.0000000000000E+01;
  3 4.4000000000000E+01 3.1000000000000E+01;
  4 4.3000000000000E+01 3.2000000000000E+01;
  5 4.2000000000000E+01 3.3000000000000E+01;
  6 4.1000000000000E+01 3.4000000000000E+01;
  7 4.0000000000000E+01 3.5000000000000E+01;
  8 3.9000000000000E+01 3.6000000000000E+01;
  9 3.8000000000000E+01 3.7000000000000E+01;
 10 3.7000000000000E+01 3.8000000000000E+01;
 11 3.6000000000000E+01 3.9000000000000E+01;
 12 2.5000000000000E+01 4.0000000000000E+01;
 13 3.4000000000000E+01 4.0000000000000E+01;
 14 3.3000000000000E+01 4.0000000000000E+01;
 15 3.2000000000000E+01 4.0000000000000E+01;
 16 3.1000000000000E+01 4.0000000000000E+01;
 17 3.0000000000000E+01 4.0000000000000E+01;
 18 2.9000000000000E+01 4.0000000000000E+01;
 19 2.8000000000000E+01 4.0000000000000E+01;
 20 2.7000000000000E+01 4.0000000000000E+01;
 21 2.6000000000000E+01 4.0000000000000E+01;
 22 2.5000000000000E+01 3.0000000000000E+01;
 23 2.5000000000000E+01 3.9000000000000E+01;
 24 2.5000000000000E+01 3.8000000000000E+01;
 25 2.5000000000000E+01 3.7000000000000E+01;
 26 2.5000000000000E+01 3.6000000000000E+01;
 27 2.5000000000000E+01 3.5000000000000E+01;
 28 2.5000000000000E+01 3.4000000000000E+01;
 29 2.5000000000000E+01 3.3000000000000E+01;
 30 2.5000000000000E+01 3.2000000000000E+01;
 31 2.5000000000000E+01 3.1000000000000E+01;
 32 2.7000000000000E+01 3.0000000000000E+01;
 33 2.9000000000000E+01 3.0000000000000E+01;
 34 3.1000000000000E+01 3.0000000000000E+01;
 35 3.3000000000000E+01 3.0000000000000E+01;
 36 3.5000000000000E+01 3.0000000000000E+01;
 37 3.7000000000000E+01 3.0000000000000E+01;
 38 3.9000000000000E+01 3.0000000000000E+01;
 39 4.1000000000000E+01 3.0000000000000E+01;
 40 4.3000000000000E+01 3.0000000000000E+01;
 41 4.2100000000000E+01 3.1000000000000E+01;
 42 4.0200000000000E+01 3.1000000000000E+01;
 43 3.8300000000000E+01 3.1000000000000E+01;
 44 3.6400000000000E+01 3.1000000000000E+01;
 45 3.4500000000000E+01 3.1000000000000E+01;
 46 3.2600000000000E+01 3.1000000000000E+01;
 47 3.0700000000000E+01 3.1000000000000E+01;
 48 2.8800000000000E+01 3.1000000000000E+01;
 49 2.6900000000000E+01 3.1000000000000E+01;
 50 4.1200000000000E+01 3.2000000000000E+01;
 51 3.9400000000000E+01 3.2000000000000E+01;
 52 3.7600000000000E+01 3.2000000000000E+01;
 53 3.5800000000000E+01 3.2000000000000E+01;
 54 3.4000000000000E+01 3.2000000000000E+01;
 55 3.2200000000000E+01 3.2000000000000E+01;
 56 3.0400000000000E+01 3.2000000000000E+01;
 57 2.8600000000000E+01 3.2000000000000E+01;
 58 2.6800000000000E+01 3.2000000000000E+01;
 59 4.0300000000000E+01 3.3000000000000E+01;
 60 3.8600000000000E+01 3.3000000000000E+01;
 61 3.6900000000000E+01 3.3000000000000E+01;
 62 3.5200000000000E+01 3.3000000000000E+01;
 63 3.3500000000000E+01 3.3000000000000E+01;
 64 3.1800000000000E+01 3.3000000000000E+01;
 65 3.0100000000000E+01 3.3000000000000E+01;
 66 2.8400000000000E+01 3.3000000000000E+01;
 67 2.6700000000000E+01 3.3000000000000E+01;
 68 3.9400000000000E+01 3.4000000000000E+01;
 69 3.7800000000000E+01 3.4000000000000E+01;
 70 3.6200000000000E+01 3.4000000000000E+01;
 71 3.4600000000000E+01 3.4000000000000E+01;
 72 3.3000000000000E+01 3.4000000000000E+01;
 73 3.1400000000000E+01 3.4000000000000E+01;
 74 2.9800000000000E+01 3.4000000000000E+01;
 75 2.8200000000000E+01 3.4000000000000E+01;
 76 2.6600000000000E+01 3.4000000000000E+01;
 77 3.8500000000000E+01 3.5000000000000E+01;
 78 3.7000000000000E+01 3.5000000000000E+01;
 79 3.5500000000000E+01 3.5000000000000E+01;
 80 3.4000000000000E+01 3.5000000000000E+01;
 81 3.2500000000000E+01 3.5000000000000E+01;
 82 3.1000000000000E+01 3.5000000000000E+01;
 83 2.9500000000000E+01 3.5000000000000E+01;
 84 2.8000000000000E+01 3.5000000000000E+01;
 85 2.6500000000000E+01 3.5000000000000E+01;
 86 3.7600000000000E+01 3.6000000000000E+01;
 87 3.6200000000000E+01 3.6000000000000E+01;
 88 3.4800000000000E+01 3.6000000000000E+01;
 89 3.3400000000000E+01 3.6000000000000E+01;
 90 3.2000000000000E+01 3.6000000000000E+01;
 91 3.0600000000000E+01 3.6000000000000E+01;
 92 2.9200000000000E+01 3.6000000000000E+01;
 93 2.7800000000000E+01 3.6000000000000E+01;
 94 2.6400000000000E+01 3.6000000000000E+01;
 95 3.6700000000000E+01 3.7000000000000E+01;
 96 3.5400000000000E+01 3.7000000000000E+01;
 97 3.4100000000000E+01 3.7000000000000E+01;
 98 3.2800000000000E+01 3.7000000000000E+01;
 99 3.1500000000000E+01 3.7000000000000E+01;
100 3.0200000000000E+01 3.7000000000000E+01;
101 2.8900000000000E+01 3.7000000000000E+01;
102 2.7600000000000E+01 3.7000000000000E+01;
103 2.6300000000000E+01 3.7000000000000E+01;
104 3.5800000000000E+01 3.8000000000000E+01;
105 3.4600000000000E+01 3.8000000000000E+01;
106 3.3400000000000E+01 3.8000000000000E+01;
107 3.2200000000000E+01 3.8000000000000E+01;
